,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
92,GAS,0 days 00:01:18.284000,15.0,1.0,HARD,15.0,15.0,0 days 00:00:20.527000,0 days 00:00:36.719000,0 days 00:00:21.038000,78.284,20.527,36.719,21.038,78.91135714285714
93,GAS,0 days 00:01:18.298000,16.0,1.0,HARD,16.0,16.0,0 days 00:00:20.492000,0 days 00:00:36.990000,0 days 00:00:20.816000,78.298,20.492,36.99,20.816,78.87046666666667
94,GAS,0 days 00:01:17.990000,17.0,1.0,HARD,17.0,17.0,0 days 00:00:20.540000,0 days 00:00:36.697000,0 days 00:00:20.753000,77.99,20.54,36.697,20.753,78.8154375
95,GAS,0 days 00:01:18.453000,18.0,1.0,HARD,18.0,18.0,0 days 00:00:20.445000,0 days 00:00:36.986000,0 days 00:00:21.022000,78.453,20.445,36.986,21.022,78.79411764705883
96,GAS,0 days 00:01:18.109000,19.0,1.0,HARD,19.0,19.0,0 days 00:00:20.476000,0 days 00:00:36.707000,0 days 00:00:20.926000,78.109,20.476,36.707,20.926,78.75605555555555
97,GAS,0 days 00:01:18.587000,20.0,1.0,HARD,20.0,20.0,0 days 00:00:20.564000,0 days 00:00:36.984000,0 days 00:00:21.039000,78.587,20.564,36.984,21.039,78.74715789473684
98,GAS,0 days 00:01:17.810000,21.0,1.0,HARD,21.0,21.0,0 days 00:00:20.453000,0 days 00:00:36.637000,0 days 00:00:20.720000,77.81,20.453,36.637,20.72,78.7003
99,GAS,0 days 00:01:18.213000,22.0,1.0,HARD,22.0,22.0,0 days 00:00:20.473000,0 days 00:00:36.948000,0 days 00:00:20.792000,78.213,20.473,36.948,20.792,78.67709523809523
100,GAS,0 days 00:01:17.942000,23.0,1.0,HARD,23.0,23.0,0 days 00:00:20.514000,0 days 00:00:36.707000,0 days 00:00:20.721000,77.942,20.514,36.707,20.721,78.64368181818182
101,GAS,0 days 00:01:17.577000,24.0,1.0,HARD,24.0,24.0,0 days 00:00:20.258000,0 days 00:00:36.650000,0 days 00:00:20.669000,77.577,20.258,36.65,20.669,78.5973043478261
102,GAS,0 days 00:01:17.540000,25.0,1.0,HARD,25.0,25.0,0 days 00:00:20.314000,0 days 00:00:36.597000,0 days 00:00:20.629000,77.54,20.314,36.597,20.629,78.55325
103,GAS,0 days 00:01:17.912000,26.0,1.0,HARD,26.0,26.0,0 days 00:00:20.321000,0 days 00:00:36.768000,0 days 00:00:20.823000,77.912,20.321,36.768,20.823,78.5276
104,GAS,0 days 00:01:18.012000,27.0,1.0,HARD,27.0,27.0,0 days 00:00:20.343000,0 days 00:00:36.879000,0 days 00:00:20.790000,78.012,20.343,36.879,20.79,78.50776923076923
105,GAS,0 days 00:01:17.285000,28.0,1.0,HARD,28.0,28.0,0 days 00:00:20.232000,0 days 00:00:36.519000,0 days 00:00:20.534000,77.285,20.232,36.519,20.534,78.46248148148149
106,GAS,0 days 00:01:17.373000,29.0,1.0,HARD,29.0,29.0,0 days 00:00:20.210000,0 days 00:00:36.593000,0 days 00:00:20.570000,77.373,20.21,36.593,20.57,78.42357142857144
107,GAS,0 days 00:01:17.083000,30.0,1.0,HARD,30.0,30.0,0 days 00:00:20.158000,0 days 00:00:36.385000,0 days 00:00:20.540000,77.083,20.158,36.385,20.54,78.3773448275862
108,GAS,0 days 00:01:18.015000,31.0,1.0,HARD,31.0,31.0,0 days 00:00:20.233000,0 days 00:00:36.772000,0 days 00:00:21.010000,78.015,20.233,36.772,21.01,78.36526666666667
109,GAS,0 days 00:01:17.384000,32.0,1.0,HARD,32.0,32.0,0 days 00:00:20.253000,0 days 00:00:36.464000,0 days 00:00:20.667000,77.384,20.253,36.464,20.667,78.33361290322581
110,GAS,0 days 00:01:17.450000,33.0,1.0,HARD,33.0,33.0,0 days 00:00:20.235000,0 days 00:00:36.569000,0 days 00:00:20.646000,77.45,20.235,36.569,20.646,78.306
111,GAS,0 days 00:01:17.207000,34.0,1.0,HARD,34.0,34.0,0 days 00:00:20.214000,0 days 00:00:36.406000,0 days 00:00:20.587000,77.207,20.214,36.406,20.587,78.27269696969697
112,GAS,0 days 00:01:17.421000,35.0,1.0,HARD,35.0,35.0,0 days 00:00:20.158000,0 days 00:00:36.569000,0 days 00:00:20.694000,77.421,20.158,36.569,20.694,78.24764705882353
113,GAS,0 days 00:01:17.668000,36.0,1.0,HARD,36.0,36.0,0 days 00:00:20.130000,0 days 00:00:36.765000,0 days 00:00:20.773000,77.668,20.13,36.765,20.773,78.23108571428573
114,GAS,0 days 00:01:17.212000,37.0,1.0,HARD,37.0,37.0,0 days 00:00:20.143000,0 days 00:00:36.422000,0 days 00:00:20.647000,77.212,20.143,36.422,20.647,78.20277777777778
115,GAS,0 days 00:01:17.556000,38.0,1.0,HARD,38.0,38.0,0 days 00:00:20.106000,0 days 00:00:36.644000,0 days 00:00:20.806000,77.556,20.106,36.644,20.806,78.1852972972973
116,GAS,0 days 00:01:17.102000,39.0,1.0,HARD,39.0,39.0,0 days 00:00:20.107000,0 days 00:00:36.421000,0 days 00:00:20.574000,77.102,20.107,36.421,20.574,78.15678947368421
117,GAS,0 days 00:01:17.221000,40.0,1.0,HARD,40.0,40.0,0 days 00:00:20.143000,0 days 00:00:36.430000,0 days 00:00:20.648000,77.221,20.143,36.43,20.648,78.13279487179487
118,GAS,0 days 00:01:17.654000,41.0,1.0,HARD,41.0,41.0,0 days 00:00:20.164000,0 days 00:00:36.595000,0 days 00:00:20.895000,77.654,20.164,36.595,20.895,78.120825
119,GAS,0 days 00:01:18.559000,42.0,1.0,HARD,42.0,42.0,0 days 00:00:20.837000,0 days 00:00:36.871000,0 days 00:00:20.851000,78.559,20.837,36.871,20.851,78.13151219512194
120,GAS,0 days 00:01:17.699000,43.0,1.0,HARD,43.0,43.0,0 days 00:00:20.244000,0 days 00:00:36.631000,0 days 00:00:20.824000,77.699,20.244,36.631,20.824,78.12121428571429
121,GAS,0 days 00:01:18.042000,44.0,1.0,HARD,44.0,44.0,0 days 00:00:20.224000,0 days 00:00:36.840000,0 days 00:00:20.978000,78.042,20.224,36.84,20.978,78.11937209302324
122,GAS,0 days 00:01:16.839000,45.0,1.0,HARD,45.0,45.0,0 days 00:00:19.995000,0 days 00:00:36.326000,0 days 00:00:20.518000,76.839,19.995,36.326,20.518,78.09027272727272
123,GAS,0 days 00:01:16.997000,46.0,1.0,HARD,46.0,46.0,0 days 00:00:19.978000,0 days 00:00:36.456000,0 days 00:00:20.563000,76.997,19.978,36.456,20.563,78.06597777777777
124,GAS,0 days 00:01:33.267000,47.0,1.0,HARD,47.0,47.0,0 days 00:00:19.997000,0 days 00:00:36.277000,0 days 00:00:36.993000,93.267,19.997,36.277,36.993,78.3964347826087
125,GAS,0 days 00:01:19.884000,48.0,2.0,MEDIUM,1.0,48.0,0 days 00:00:22.937000,0 days 00:00:36.318000,0 days 00:00:20.629000,79.884,22.937,36.318,20.629,78.42808510638298
126,GAS,0 days 00:01:15.831000,49.0,2.0,MEDIUM,2.0,49.0,0 days 00:00:19.843000,0 days 00:00:35.692000,0 days 00:00:20.296000,75.831,19.843,35.692,20.296,78.37397916666667
127,GAS,0 days 00:01:15.955000,50.0,2.0,MEDIUM,3.0,50.0,0 days 00:00:20.045000,0 days 00:00:35.628000,0 days 00:00:20.282000,75.955,20.045,35.628,20.282,78.32461224489796
128,GAS,0 days 00:01:16.711000,51.0,2.0,MEDIUM,4.0,51.0,0 days 00:00:19.878000,0 days 00:00:36.405000,0 days 00:00:20.428000,76.711,19.878,36.405,20.428,78.29234000000001
129,GAS,0 days 00:01:22.349000,52.0,2.0,MEDIUM,5.0,52.0,0 days 00:00:20.396000,0 days 00:00:39.774000,0 days 00:00:22.179000,82.349,20.396,39.774,22.179,78.37188235294117
130,GAS,0 days 00:01:35.781000,53.0,2.0,MEDIUM,6.0,53.0,0 days 00:00:23.903000,0 days 00:00:49.020000,0 days 00:00:22.858000,95.781,23.903,49.02,22.858,78.70667307692307
